Person_ID,Function
0,Finance
1,Finance
2,IT
3,Finance
4,IT
5,IT
6,Finance
7,Finance
8,Finance
9,IT
10,IT
11,IT
12,IT
13,Finance
14,IT
15,IT
16,Supply Chain
17,Supply Chain
18,Finance
19,IT
20,Finance
21,IT
22,IT
23,IT
24,Finance
25,IT
26,Finance
27,IT
28,Finance
29,IT
30,IT
31,Finance
32,IT
33,IT
34,Finance
35,IT
36,IT
37,Finance
38,IT
39,IT
40,Finance
41,Supply Chain
42,Finance
43,IT
44,Finance
45,Finance
46,Finance
47,IT
48,IT
49,IT
50,Finance
51,IT
52,IT
53,IT
54,IT
55,Supply Chain
56,Supply Chain
57,Supply Chain
58,IT
59,IT
60,Finance
61,IT
62,IT
63,IT
64,IT
65,Supply Chain
66,Supply Chain
67,IT
68,Finance
69,IT
70,IT
71,IT
72,Supply Chain
73,IT
74,Supply Chain
75,IT
76,Finance
77,IT
78,Supply Chain
79,IT
80,Supply Chain
81,Finance
82,Supply Chain
83,IT
84,IT
85,Finance
86,Finance
87,IT
88,IT
89,Finance
90,IT
91,Finance
92,Finance
93,IT
94,Finance
95,IT
96,IT
97,Supply Chain
98,Supply Chain
99,IT
100,Supply Chain
101,IT
102,IT
103,Finance
104,IT
105,IT
106,IT
107,IT
108,IT
109,Supply Chain
110,IT
111,IT
112,IT
113,Finance
114,IT
115,Finance
116,IT
117,Supply Chain
118,IT
119,Supply Chain
120,Supply Chain
121,IT
122,Supply Chain
123,IT
124,Finance
125,Finance
126,IT
127,IT
128,Finance
129,Supply Chain
130,Finance
131,IT
132,Supply Chain
133,Finance
134,IT
135,IT
136,IT
137,Finance
138,Finance
139,IT
140,IT
141,Finance
142,IT
143,Finance
144,IT
145,IT
146,IT
147,IT
148,Supply Chain
149,IT
150,IT
151,Finance
152,Supply Chain
153,Supply Chain
154,IT
155,Supply Chain
156,IT
157,Finance
158,IT
159,Finance
160,IT
161,Supply Chain
162,Finance
163,IT
164,IT
165,IT
166,IT
167,IT
168,IT
169,Supply Chain
170,Supply Chain
171,Supply Chain
172,IT
173,IT
174,Finance
175,Supply Chain
176,IT
177,IT
178,Supply Chain
179,IT
180,IT
181,IT
182,Supply Chain
183,IT
184,IT
185,IT
186,Supply Chain
187,Finance
188,Finance
189,Supply Chain
190,Finance
191,IT
192,Finance
193,IT
194,Finance
195,Finance
196,IT
197,IT
198,Supply Chain
199,IT
200,Finance
201,IT
202,IT
203,Supply Chain
204,IT
205,IT
206,IT
207,Supply Chain
208,IT
209,IT
210,Finance
211,IT
212,IT
213,IT
214,Finance
215,IT
216,IT
217,IT
218,IT
219,IT
220,IT
221,IT
222,IT
223,Finance
224,IT
225,Finance
226,IT
227,IT
228,IT
229,Supply Chain
230,Supply Chain
231,IT
232,IT
233,IT
234,Finance
235,Supply Chain
236,IT
237,IT
238,IT
239,Supply Chain
240,IT
241,Supply Chain
242,IT
243,IT
244,IT
245,IT
246,Finance
247,IT
248,Supply Chain
249,Supply Chain
250,IT
251,Finance
252,Supply Chain
253,Supply Chain
254,IT
255,IT
256,Supply Chain
257,IT
258,Finance
259,Supply Chain
260,Supply Chain
261,Finance
262,IT
263,Finance
264,Finance
265,IT
266,Supply Chain
267,IT
268,IT
269,IT
270,Finance
271,IT
272,IT
273,IT
274,IT
275,IT
276,Finance
277,IT
278,Supply Chain
279,IT
280,Supply Chain
281,IT
282,Finance
283,Finance
284,IT
285,IT
286,IT
287,IT
288,Finance
289,IT
290,IT
291,IT
292,Supply Chain
293,IT
294,IT
295,Supply Chain
296,IT
297,Supply Chain
298,IT
299,Finance
300,Finance
301,IT
302,Finance
303,Finance
304,Finance
305,IT
306,IT
307,IT
308,Supply Chain
309,IT
310,IT
311,IT
312,Supply Chain
313,Finance
314,Finance
315,Supply Chain
316,IT
317,IT
318,IT
319,IT
320,Supply Chain
321,Supply Chain
322,IT
323,IT
324,Supply Chain
325,IT
326,Supply Chain
327,Finance
328,IT
329,IT
330,Supply Chain
331,IT
332,IT
333,IT
334,IT
