Person_ID,Gender,Age,LengthOfService,Admin Role,International Assignee,Is Mobile,YearlyPay
0,woman,38.82026173,8.012028421,0,0,0,71933.63763
1,woman,32.00078604,9.505542417,0,0,0,110599.7395
2,woman,34.89368992,8.464881145,0,0,1,152840.3117
3,woman,41.204466,9.183000884,0,0,"""0""",122468.966
4,woman,39.33778995,5.957711458,0,0,0,123796.4875
5,woman,25.1136106,8.293638609,0,0,1,136190.5669
6,woman,34.75044209,9.989545499,1,0,0,83424.74803
7,woman,29.24321396,7.769305002,0,0,0,60262.48616
8,woman,29.48390574,3.592231019,0,0,1,92105.07563
9,woman,32.05299251,7.267087594,0,0,0,119640.5126
10,woman,30.72021786,9.660109549,0,0,0,79295.74472
11,woman,37.27136753,9.508133806,0,0,1,162135.7542
12,woman,33.80518863,5.578581574,0,0,"""0""",113931.4769
13,woman,30.60837508,8.532339795,0,0,"""0""",104355.191
14,woman,32.21931616,10.70119248,1,0,"""0""",62036.64004
15,woman,31.66837164,11.87904343,0,0,"""0""",138666.1954
16,woman,37.47039537,7.615332531,0,0,"""0""",92294.69226
17,woman,28.97420868,6.840213195,0,0,"""0""",49142.99207
18,woman,31.56533851,10.21762778,0,0,"""0""",112954.6828
19,woman,25.7295213,6.854522904,0,0,"""0""",108575.9233
20,woman,17.23505092,9.203762807,0,0,"""0""",50643.04098
21,woman,33.26809298,11.49150267,0,0,"""0""",86985.77701
22,woman,34.32218099,6.49207571,0,0,"""0""",119200.4223
23,woman,26.2891749,8.678521518,0,0,"""0""",117784.4308
24,woman,41.34877312,4.36742837,0,0,"""0""",63308.9751
25,woman,22.72817163,8.94079554,0,0,"""0""",68161.6798
26,woman,30.22879259,4.727922264,1,0,"""0""",38389.88893
27,woman,29.06408075,9.036064167,1,0,"""0""",55564.84314
28,woman,37.66389607,8.614482275,0,0,"""0""",114880.2907
29,woman,37.34679385,7.255674799,0,0,"""0""",127209.8582
30,woman,30.77473713,11.56839528,1,0,"""0""",104092.8918
31,woman,31.8908126,11.55625743,1,0,"""0""",59225.47373
32,woman,25.56107126,9.451213067,0,0,"""0""",72822.14301
33,woman,20.09601766,6.906148843,0,0,"""0""",100710.6531
34,woman,28.26043925,5.770167192,0,0,"""0""",87909.77948
35,woman,30.78174485,5.597928469,0,0,1,129833.9218
36,woman,36.1514534,7.813197252,0,0,0,128082.7828
37,woman,36.01189924,7.008139608,1,0,0,75250.72543
38,woman,28.06336591,7.568409092,0,0,0,115304.5653
39,woman,28.48848625,2.730249231,0,0,0,91096.32938
40,woman,24.75723517,6.516561664,1,0,0,67041.47276
41,woman,22.89991031,6.991632711,0,0,1,49670.38415
42,woman,21.46864905,4.157636243,0,0,1,82881.64995
43,woman,39.75387698,7.041251424,0,0,1,152763.234
44,woman,27.45173909,5.372376092,1,0,0,66171.46504
45,woman,27.80962849,6.739390323,0,0,0,92018.57123
46,woman,23.7360232,6.270272492,0,0,1,99537.67282
47,woman,33.88745178,4.945781006,0,0,1,130820.9668
48,woman,21.93051076,10.41547882,0,0,0,118891.0651
49,woman,28.9362986,10.70752234,0,0,0,130161.5041
50,woman,25.52266719,5.940276755,0,0,0,84816.05677
51,woman,31.93451249,8.503353069,1,0,0,96201.284
52,woman,27.44597431,5.628430183,0,0,0,105025.4103
53,woman,24.09683908,5.448196909,0,0,0,99292.05628
54,woman,29.85908886,7.735222763,0,0,0,118662.6931
55,woman,32.14165935,8.015504065,0,0,0,55309.42939
56,woman,30.33258611,5.681113967,1,0,0,54377.97567
57,woman,31.51235949,8.34692857,1,0,0,68922.23696
58,woman,26.82838953,6.315888437,1,0,0,75326.3897
59,woman,28.18629417,7.774625468,0,0,0,116435.4764
60,woman,26.63769776,7.07865817,0,0,1,108896.066
61,woman,28.20223419,5.661091905,1,0,0,74628.15528
62,woman,25.93426859,12.53288223,0,0,0,132840.5877
63,woman,21.36858699,8.878703101,0,0,0,111580.4395
